Section,Subsection,Content
,, noisy vibrant and truly multiculturallondonis a megalopolis of people ideas and frenetic energy the capital and largest city of theunited kingdomsits on the river thames insoutheast englandgreater londonhas a population of a little over 9 million considered one of the worlds leading global cities london remains an international capital of culture music education fashion politics finance and trade for the visitor there is a seemingly endless choice of historical sites shopping museums food experiences art galleries nightlife and activities
Districts,,the name london used to refer only to the oncewalled square mile of the original roman and later medieval city this is now confusingly called the city of london or just the city today london has taken on a much larger meaning to include all of the vast central parts of the modern metropolis with the city having absorbed numerous surrounding towns and villages over the centuries including large portions of the surrounding home counties one of which  middlesex  being completely consumed by the growing metropolis the term greater london embraces central london together with all the outlying suburbs that lie in one continuous urban sprawl within the lower thames valley though densely populated london retains large swathes of green parkland and open space even within the city centre greater londonis most of the area surrounded by the m25 orbital motorway and consists of 32 london boroughs and the city of london that together with the office of the mayor of london form the basis for londons local government the mayor of london is elected by london residents and should not be confused with the lord mayor of the city of london the names of several boroughs such aswestminsterandcamden are wellknown others less so such aswandsworthandlewisham this travellers guide to london recognises cultural functional and social districts of varying type and size
Understand,,—samuel johnson
Understand,History,settlements have existed on the site of london since well before roman times with evidence of bronze age and celtic inhabitants the roman city oflondinium established just after the roman conquest of britannia in the year 43 formed the basis for the modern city some isolated roman period remains are still to be seen within the city after the end of roman rule in 410 and a shortlived decline london experienced a gradual revival under the anglosaxons as well as the norsemen and emerged as a great medieval trading city eventually replacingwinchesteras the royal capital of england this paramount status for london was confirmed when william the conqueror a norman built thetower of londonafter the conquest in 1066 and was crowned king of england inwestminster london went from strength to strength with the rise of england to first european then global prominence and the city became a great centre of culture government and industry londons long association with the theatre for example can be traced back to the english renaissance witness therose theatredead linkand great playwrights likeshakespearewho made london their home with the rise of britain to supreme maritime power in the 18th and 19th centuries seeindustrial britain and the possessor of the largest global empire london became an imperial capital and drew people and influences from around the world to become for many years the largest city in the world englands royal family has over the centuries added much to the london scene for todays traveller thealbert memorialbuckingham palacekensington palaceroyal albert halltower of londonkew palaceandwestminster abbeybeing prominent examples despite the decline of the british empire and suffering during thesecond world warwhen london was heavily bombed by the german luftwaffe in the blitz the city remains a toptier world city a global centre of culture finance and learning today london is easily the largest city in the united kingdom eight times larger than the second largestbirmingham and ten times larger than the thirdglasgow and dominates the economic political and social life of the nation its full of excellent bars galleries museums parks and theatres it is also the most culturally and ethnically diverse part of the country and arguably of the whole of europe as well making it a great multicultural city to visit samuel johnson famously said when a man is tired of london he is tired of life whether you are interested in ancient history modern art opera or underground raves london has it all
Understand,The City and Westminster,historically london was two cities a commercial city and a separate government capital the commercial capital was thecity of london this had a dense population and all the other prerequisites of a medieval city walls a castle the tower of london a cathedral st pauls a semiindependent city government a port and a bridge across which all trade was routed so londoners could make money london bridge about an hour upstream on foot or by boat around a bend in the river was the government capital westminster this had a church for crowning the monarch westminster abbey and palaces as each palace was replaced by a larger one the previous one was used for government first the palace of westminster better known as the houses of parliament then whitehall then buckingham palace the two were linked by a road called the strand the old english word for riverbank london grew both west and east the land to the west of the city part of the parish of westminster was prime farming land covent gardenandsohofor example and made good building land the land to the east was flat marshy and cheap good for cheap housing and industry and later for docks also the wind blows 3 days out of 4 from west to east and the thames into which the sewage went flows from west to east so thewest endwas upwind and upmarket theeast endwas where people worked for a living modernday london in these terms is a twocentre city with the area in between known confusingly as the west end
Understand,Climate,despite having perhaps a fair reputation for being unsettled london enjoys a mildclimateon average as much as one in three days on average will bring rain though sometimes for only a short period in some years 2012 and 2018 being examples there was no rain for a number of weeks the fact that londoners would find this remarkable should be an indication to visitors from drier climates of what they may be in for extreme weatheris rare occasionally there may be heavy rain that can bring localised flooding or strong winds that may down trees and damage roofs but overall you are unlikely to encounter anything too lively winterin london is mild compared to nearby continental european cities due to both the presence of the gulf stream and the urban heat effect the average daily maximum temperature is 8 °c 46 °f in december and january the coldest temperature recorded in london stands at −161 °c 30 °f and was recorded at northolt during january 1962 but this occurred during one of the coldest winters ever experienced in the uk daylight hours are very short especially around winter with darkness falling at 345pm in the afternoon in december sunrise is not until after 8am in the morning around new years snowdoes occur usually a few times a year but rarely heavily a few years being exceptions such as the winters of 2009 and 2010 with temperatures dipping down to subzeros regularly snow in london can be crippling as seen at the end of 2010 just 7 centimetres 2 ¾ inches of snow will cause trains to stop running airports to see significant delays and the postal service to come to a halt london is a city which does not cope well with snow walkways stairs and streets will not be cleared by shovels or ploughs the streets will be saltedgritted but will remain slick and snowslush covered until the sun melts it away this is due to a lack of widespread snowclearing infrastructure as the city does not often see snow spring in the capital can be something of a weather rollercoaster with big variations in temperature day by day it can be a very wet time of year but the increases in day length from march onwards and steady temperature increases as the season progresses can make it a pleasant time to visit days can be mild and warm but the temperature will often dip at night as the suns warmth dissipates the beginning of spring in march can be as cold as winter so be sure to bring something warm to wear summer is perhaps the best season for tourists as it has long daylight hours as well as mild to warm temperatures the average daily high temperatures in july and august are around 24 °c 75 °f the highest temperature ever seen in london stands at 402 °c 1044 °f which was recorded at heathrow on 19 july 2022 daylight hours run from 445am to 915pm but begin to shorten as the summer wears on humidity across the city can increase and stay high over the course of several days and nights leading to muggy conditions also upon occasion clouds of dust from storms in the sahara desert can be blown across europe and lead to increases in pollution levels despite the increased warmth the weather in summer can be variable occasional prolonged instances of rain and unexpected dips in temperature can occur if youre coming during the summer it is still advised to dress in layers and bring some waterproofs autumn in london can vary from year to year in some years september and october can see temperatures similar to those seen in summer due to a phenomenon known as an indian summer but in other years the temperature can decrease rapidly to winter levels and stay there autumn tends to be the wettest and windiest season but again this can vary from year to year day length at the beginning of autumn is near that of summer meaning that a september trip can still be as easy to plan as an august one as theres plenty of daylight to work with midautumn is a wonderful time to wander one of londons many treefilled parks as the leaves fade from green to gold another benefit of a september trip is that children return to school at the beginning of the month meaning that some tourist attractions are quieter
Understand,Tourist information,there is no office for tourist information for the uk or for england however as of 2022 transport for london maintains four small visitor centres at certain arrival points see tfl website which offer advice on key attractions how to travel on the tfl network buying tickets etc
Talk,,as one would expect of the capital of england english is the main language spoken in london accents however do vary fromreceived pronunciationrp also known as thekingsqueens english that is spoken by the upperclass residents of westminster to the distinctivecockneyaccent spoken by the workingclass residents of the east end however rp has largely died out and has been supplanted bystandard southern english a more modern more middle class accent that pervades the south of the uk similarly cockney has been driven out of london now spoken mostly in essex as london is one of the most culturally diverse cities in the world that is home to immigrants from all over the formerbritish empire a new accent known asmulticultural london englishmle has developed among younger londoners who grew up with this cultural diversity mle has a cockney base but also incorporates noticeable influences from south asia africa and the caribbean and is often regarded as the most representative accent of modern british society many languages from all around the world are spoken by first generation immigrants in london for instancemandarinandcantoneseare commonly spoken in chinatown and other neighbourhoods with large numbers of ethnic chinese residents and numerous south asian languages such ashindiurdupunjabiandbengaliare spoken among the various south asian communities
Get in,,
Get in,By plane,london receives more flights than any other city in the world it is served by six airports loniatafor all airportsː there are direct public transport connections between all london airports and the city centre the quickest travel option is usually by train tube or coach when planning your trip leave plenty of time to get to your destination from the airport if you arrive into a london airport and must catch a connecting flight from another airport leave plenty of time to travel through london this can be quite time consuming and you may need to catch two or more trains 51477504613891london heathrow airportlhriataheathrowiseuropesbusiest airport there are four terminals numbered t2t5 you can fly into heathrow from a large number of domestic and international destinations  including in most european nationsdohajohannesburglos angelesnew delhinew yorktokyoandtoronto most major longhaul airlines fly into heathrow includingbritish airwaysaer lingusamerican airlinesklmlufthansaqantasqatar airwaysandturkish airlinesupdated jan 2024 there are several ways to get from london heathrow airport to central londonː 5114722201902782london gatwick airportlgwiatalondons secondbusiest airportgatwickhas two terminals  north terminal and south terminal you can fly into gatwick from a large number of domestic and international destinations particularly destinations in europe airlines includebritish airwayseasyjetklmryanairandtuiupdated jan 2024 there are several ways to get from london gatwick airport to london destinationsː 5188502353london stansted airportstniatastanstedis busy with shorthaul flights from destinations in europe themiddle eastandnorth africa as well as uk destinations includingnewquayedinburghandbelfast airlines includeeasyjetjet2andryanairupdated jan 2024 you cannot use touch in touch out oyster and contactless cards to travel between stansted and london you must buy a ticket or eticket there are several ways to get from london stansted airport to london destinationsː 5187472203683334london luton airportltniataluton airport is around 30 miles from the capital you can fly into luton from a large number of european destinations particularly smaller cities in southern and eastern europe airlines includeeasyjetryanairandwizz airupdated jan 2024 there are several ways to get from london luton airport to london destinationsː 5150527800552785london city airportlcyiatajust 35 mi 56 km from canary wharf this commuter airport has shorthaul flights from other major european cities also some holiday routesbritish airwaysandlufthansaare among the airlines which fly into london city airportupdated jan 2024 plane tickets at london city tend to be more expensive than at other airports london city airport lies in east london onward travel is viaː 5157027806933336london southend airportseniatathere are flights from a limited number of european destinations includingparisandamsterdameasyjetoperates most flights into london southend airportupdated jan 2024 journeys into central london can take more than an hour there is a railway station at southend airport but you cannot use touch in touch out oyster and contactless cards to travel between southend and london there are limited bus links with london options for travel into london includeː
